library,P1L1,P2L1,P1H1,P2H1,P3L1,P3H1,P1L2,P2L2,P1H2,P2H2,P3L2,P3H2
OG0030074:,206.8,609.52,553.32,363.98,352.03,426.51,606.19,555.11,397.37,668.35,391.54,577.86
OG0030075:,18.01,90,75,43.78,158,70,370.77,106.7,21,203.29,43,103.01
OG0030076:,114.68,417.91,239.62,237.41,283.35,197.14,167.59,151.62,79.94,188.27,73.53,187.62
OG0030077:,222.25,499.71,501.32,377.53,541.4,574.05,1309.47,1567.05,1002.01,1240.04,1124.45,1185.35
OG0030078:,0,28.93,7,0,51,21,43,125,10,36,45,40
OG0030079:,2,0,18,27,0,2,16,18,469,3,12,0
OG0030080:,1,9,24.95,13,5,8,74,62,4,40,20,37
OG0030081:,9,13,5,10,0,39.95,98,66,14,110,40,52
OG0030082:,21,23,27,11,10,40,82,159,16,93,32,66
OG0030083:,179.83,70.91,300.26,129.69,219.91,370.38,1912.42,1432.19,271.68,1875.33,918.32,1491.08
OG0030084:,138.52,91.02,235.76,130.64,377.48,360.82,1396.59,1635.05,395.72,1639.35,936.94,1206.82
OG0030085:,0,12.67,18.69,9.63,2,10.53,110,132.62,29.61,114.68,98.13,85.91
OG0030086:,10.13,35.73,21.47,14.93,8.2,69.21,210.4,216.87,120.44,196.82,179.91,190.78
OG0030087:,31,34,64,28,34,27,24,19,6,25.99,11,14
OG0030088:,68,1345.99,1757.71,366,624,2139.29,458.02,635.9,212,158,179,134.01
OG0030089:,1,1,14,10,5,16,162,128,29,144,111,104
OG0030090:,6,2,13,15,1,8,133.01,68,80.94,107,76,60
OG0030091:,5.38,4,7.34,6.07,14.7,20.92,26.1,23.59,2,25.89,13.09,18.7
OG0030092:,94,89,304.92,75.98,269,287.08,1199.22,1077.77,580.01,1581.35,815.5,848.03
OG0030093:,158.94,580.97,250.27,287.85,329.97,354.34,745.56,555.24,285.33,806.77,342.4,553.94
OG0030094:,12.67,40.63,58.74,19.34,16.7,20,248.97,148.57,141,200.91,128,79
OG0030095:,70.94,38.92,114.65,73.04,95.11,32,109,143,38,199.26,127.43,80
OG0030096:,20.67,45.67,99.17,69.21,72.05,93.87,663.17,640.57,717.33,800,612.53,506.83
OG0030097:,20.32,51.33,76.34,29.78,39.95,70.12,224.07,351.27,223.67,417,299.28,206.89
OG0030098:,9,60,30,77,5,40,24,54,14,34,25,30
OG0030099:,4,0,6,4.14,79,172.51,8,245.02,0,0,0,3
OG0030100:,10.32,12,20.12,23.87,12.07,41.78,12.21,56.52,8.12,16.13,28.51,27.63
OG0030101:,370.62,2289.34,906.19,606.47,363.52,720.4,489.14,429.01,273.13,422.25,308.42,549.97
OG0030102:,140.53,186.18,266.93,93.05,288.23,270.56,550.25,821.75,229.13,683.81,763.64,680.6
OG0030103:,132.06,118.84,141.86,41.33,138.11,144.45,188.89,226.2,39.93,263.63,208.56,172.52
OG0030104:,52.9,85.78,123.47,173.51,114.39,137.6,899.5,852.23,299.58,910.7,1035.3,545.9
OG0030105:,16.65,70.68,29.43,47.18,37.71,23.38,74.19,102.89,51.63,104.71,132.53,81.99
OG0030106:,17.35,10,21.1,22.39,9.44,40.1,211.84,196.12,70.84,219.61,84.89,133.61
OG0030107:,22.21,6,63.85,23.76,21.86,59.99,556.48,426.52,148.47,392.39,244.38,309.75
OG0030108:,83.86,57,112.13,66.06,152.98,112.89,289.19,339.74,81.06,372.03,289.2,334.16
OG0030109:,2,18,4,5,13,12,51,126,31,37,46,34
OG0030110:,35,43,12,2,9,42,50,88,30,35,36,71
OG0030111:,161.3,240.65,485.65,174.65,301.73,375.02,1218.52,1521.71,545.37,1218.04,1082.92,582.76
OG0030112:,16.41,14.05,57.45,16.1,16.18,51.29,296.91,464.73,145.27,332.71,294.4,149.51
OG0030113:,303.46,203,747,101,104.02,591.05,552.84,837.52,168.01,823.77,201,580.2
OG0030114:,105.14,134.09,185.55,225.84,154.18,248.59,669.56,482.54,187.15,435.57,316.83,509.51
OG0030115:,1632.03,1629.18,2672,917,2592,1966.66,5406.57,4541.01,1502.91,4550.28,3104.3,3812.05
OG0030116:,266.09,839.96,665.12,492.79,658.64,686.49,411.98,332.16,201.86,358.21,184.81,275.92
OG0030117:,0,0,1,0,1,2,1,55,0,0,0,0
OG0030118:,65,227.06,150.96,331.01,98.08,199.24,267.74,224.45,295.23,196.55,117.05,202.53
OG0030119:,160.79,278.83,242.94,342.68,238.82,320.88,731.13,1053.63,271.11,951.93,684.67,662.41
OG0030120:,28,38,65.81,20,82.67,149.42,349.73,671.76,135.97,678.7,521.72,367.38
OG0030121:,230,288.77,335.96,538.9,193.08,696.98,526.63,534,141.96,500.94,126.97,390.05
OG0030122:,173.89,368.73,294.54,336.31,740.09,305.8,369.99,420.37,215.64,482.23,194.89,334.82
OG0030123:,296.03,337.8,695.21,165.87,386.81,590.91,862.87,886.05,76.53,560.54,348.85,478.81
OG0030124:,317.01,333.2,710.79,216.15,471.19,724.08,641.17,820.95,69.47,507.05,254.94,274.19
OG0030125:,7.97,5.96,25.99,30,92,71.65,88.91,31.01,17.07,98.16,33.01,49.75
OG0030126:,71.63,127.37,91.12,87.8,99.91,143.36,775.52,866.7,334.95,758.05,628.61,734.26
OG0030127:,21,2,42.3,14.44,95.94,29.28,154.47,163.63,56.87,434.96,57.84,189.97
OG0030128:,6.92,13.26,3.06,2.03,38.58,16.7,122.57,62.84,25.25,59.66,49.69,10.77
OG0030129:,3,7,6,5,25,100,18,1099.93,1,3,0,14
OG0030130:,152,1128.42,407.91,1259.21,215,297.19,359.89,548.85,480.02,624,406,358
OG0030131:,8.53,10.16,29.82,25.83,32.77,64.83,234.67,491.12,93.5,388.14,387.81,133.67
OG0030132:,25.89,105.02,82.07,84.01,14,104,186,164,65,168,70,93
OG0030133:,1.04,10.1,17.02,17.11,30.51,63.92,20.24,552.74,34.97,833.37,472.77,21.27
OG0030134:,24.07,28,86.41,32,124.89,91,266.1,332.46,99.04,336.86,198.3,322.91
OG0030135:,28,4,5,8,70,17,112,186,44,98,50,94
OG0030136:,4,38,60,33,29,24,169.34,291.74,105,233,155.38,127.32
OG0030137:,146.29,98.11,278.1,117.84,281.2,219.69,530.56,840.74,285.98,743.04,376.34,528
OG0030138:,118.98,46.87,242.62,108.76,228.33,222.89,759.16,1057.85,453.6,964.14,548.9,628.07
OG0030139:,6.52,6.74,12.83,10.56,3.11,13.46,84.64,103.51,72.14,77.97,80.96,44.31
OG0030140:,9527.64,11947.56,20908.45,5003.93,19806.3,11822.13,18687.32,18959.9,6667.65,24426.53,17370.67,13748.39
OG0030141:,213.01,327.09,383.77,515.34,392.04,295.58,814.25,863.38,825.63,850.01,533.43,603.28
OG0030142:,92.25,104.65,135.8,213.66,181.26,230.88,249.22,848.48,53.52,966.04,448.45,1108.87
OG0030143:,3,10,22,5,41,67,106,323,27,64,75,34
OG0030144:,0,2,4,0,14.93,23.97,2,889,14.98,1,1,27
OG0030145:,6,11,6,2,15,70,43,71,17,48,18,59
OG0030146:,83.6,141,111.94,49,190,71.83,127.05,192,66,171.06,295,63
OG0030147:,4,6,0,1,1,19,1,395,0,0,0,52
OG0030148:,0,2,6,0,27,0,2,116.57,1,0,0,24
OG0030149:,105,71,152,22,186,215,86,89,0,94,30,70
OG0030150:,1,0,12,0,0,0,530,0,1,0,0,0
OG0030151:,0,3,10,0,5,10,18,0,32,2,0,119.92
OG0030152:,0,9,3,0,0,40,26,83,3,34,24,0
OG0030153:,0,0,4,0,0,6,39,41,10,0,2,61
OG0030154:,142,115,137,539,177,128,285,323,683,276.07,216,254
OG0030155:,9,8,52,2,8,63,405.41,461.31,41.74,2,3,397.94
OG0030156:,457,240,981.03,293,967,838,2504.23,1868.04,331,912.94,869,1305
OG0030157:,132.39,482.23,251.27,171.2,314.59,262.88,244.3,241.55,127.87,270.87,194.32,254.12
OG0030158:,86.22,50.84,134.47,67.72,52.52,158.3,301.75,328.44,116.05,282.02,210.64,296.06
OG0030159:,2,6,5,3,61,70,6.99,1281.99,2,2,1,62
OG0030160:,348.2,582.14,735.37,643.09,514.37,686.44,1289.14,1030.67,720.28,951.43,765.46,1033.89
OG0030161:,488.18,871.31,975.87,846.52,709.31,914.94,1257.15,1068.84,554.31,1047.12,780.02,1054.31
OG0030162:,121,130.08,255,62.26,212,60,398,208.57,27.06,280,204.01,180
OG0030163:,0,0,3,18,3,4,30,15,33,23,21,15
OG0030164:,39,54,60,31,106,101,315.02,1110.98,151.99,290,300,182
OG0030165:,0,1,8,0,1,3,30,88,17,36,24,33
OG0030166:,0,0,0,0,3,24,4,352.4,1,0,0,12
OG0030167:,0,1,2,13.4,0,10,41.13,39,2,9,18,20
OG0030168:,45,15,188,61.6,41,215,661.87,77,86,392,31,156
OG0030169:,58.64,56.83,126.46,110.79,74.11,77.54,235.05,266.08,41.81,497.54,65.11,296.65
OG0030170:,167.44,268.6,277.68,195.04,434.83,321.11,873.51,824.34,252.52,687.56,313.35,495.66
OG0030171:,95,135,214,21,197,235,245,347,142,407.03,250,238
OG0030172:,16.43,41,111.01,37,124,73,476,441,257,532,502.19,367
OG0030173:,62.43,179.64,108.87,106.21,113.62,135.2,152.66,139.88,91.9,180.87,135.37,224.54
OG0030174:,5.38,19.31,9.95,0,84.4,23,12.14,181.79,0,0,0,8.99
OG0030175:,1,5,4,0,40.81,28,1.49,868.21,6.56,10,4,10.98
OG0030176:,1106.8,756.13,771.32,212.11,823.37,923.65,1349.82,1897.5,254.34,1460.85,356.59,784.66
OG0030177:,79.41,14.28,63.01,15.9,74.07,46.08,418.3,770.14,51.28,584.08,135.86,244.37
OG0030178:,1127.68,731.6,810.66,218.99,825.74,947.69,1495.57,2166.81,265.37,1605.02,397.51,805.16
OG0030179:,69,86.02,334,779.99,39,823,278.9,182.03,21,465,566,9
OG0030180:,474,370,326,59,289,444,354,189.12,92,383,358,146.82
OG0030181:,1,5,3,7,1,15,16,32,9,24,18,3
OG0030182:,1.04,28.62,35.88,27.32,61.85,63.49,95.03,97.23,75.66,80.29,36.44,75.85
OG0030183:,79.93,225.38,127.12,104.33,177.15,114.52,218.72,234.77,160.34,279.71,98.55,125.15
OG0030184:,42,61,49,147,32,49,152,148,133,122,95,198
OG0030185:,26.14,41.23,70.28,31.84,10.64,41.95,257.72,331.51,88,243.67,143.85,223.4
OG0030186:,0,1,8,14,10,43,137,300,27,137,174,89
OG0030187:,181.3,144.53,315.89,105,435.47,203.48,1105.38,907.04,301,1481.76,665.69,868.65
OG0030188:,72,57,137,39,169,116,161,278,71,121,186,157
OG0030189:,100.67,121.2,162.93,130.56,111.44,197.2,805.34,579.04,286.07,647.75,455.18,926.14
OG0030190:,5,0,10,0,29.18,138.88,13,167,5,0,0,0
OG0030191:,184.04,189.44,302.7,222.66,344.65,339.2,607.05,732.71,227.58,637.86,392.34,379.86
OG0030192:,199.66,391,400.21,121.55,298.79,354.18,692.79,540.82,205.15,517.89,453.14,404.51
OG0030193:,40,51,87.01,36,116,56.62,345.1,292.15,144.62,417.99,285.71,363.55
